Season	Episode	Title	Rating	Summary
4	1	Flight of the Phoenix	8.1	Michael says goodbye to the family business and starts his own. The life of the family turns upside down when their mailman Pete dies.
4	2	Borderline Personalities	7.4	George Sr. comes up with a get rich quick scam after his family falls apart.
4	3	Indian Takers	7.4	Lindsay tries to reclaim her sense of self while traveling and getting back to her political activist roots.
4	4	The B. Team	8.2	
4	5	A New Start	8.3	Tobias searches for meaning after splitting with Lindsay, only to find that old habits die hard.
4	6	Double Crossers	7.8	
4	7	Colony Collapse	8.8	Gob finds a new group of friends after his relationship falls apart and his family abandons him.
4	8	Red Hairing	8.4	Lindsay distances herself from her family by starting a new career.
4	9	Smashed	8.4	Tobias attempts to recover from a series of bad choices by reigniting his passion: both professionally and romantically.
4	10	Queen B.	8.4	Lucille adjusts to her new home only to find out her children are divvying up her old one.
4	11	A New Attitude	9.0	
4	12	Señoritis	8.7	
4	13	It Gets Better	8.7	
4	14	Off the Hook	8.7	
4	15	Blockheads	8.8	
